"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"2476","Van Wert County, Ohio",76.0306242638,13584,10.1,89.9,14.1,4.6,75.75,25716.95492,5.1,4.3,0.07,34.9,0.198,0.179,0.325,0.117,178.3,25.2,0.13,0.074,127.54,NA,48.2,NA,975.106,"Trump"
"2477","Wood County, Ohio",50.9480308893,62287,7.8,92.2,29.3,11.6,84.6,25298.71746,3,3.7,0.07,16.4,0.242,0.145,0.296,0.106,281,50.8,0.111,0.069,78.5,1.26,46,6.4,NA,"Trump"
"2478","Harper County, Oklahoma",88.0134680135,1485,15.9,84.1,17.1,5,81.2,30674.554285,NA,NA,0.07,46.2,0.267,NA,0.327,0.117,243.6,NA,0.252,0.029,56.12,NA,133.1,NA,615.061,"Trump"
"2479","Jefferson County, Oklahoma",81.236673774,2345,24.2,75.8,11.2,3.2,75.65,21652.557145,6.8,5,0.09,67.3,0.402,0.274,0.369,0.122,399.6,110.2,0.259,0.054,180.79,NA,114.9,NA,NA,"Trump"
"2480","Kingfisher County, Oklahoma",84.1254287114,6123,16.8,83.2,17.1,6.8,75.2,26087.394605,2.4,3.4,0.06,46.5,0.231,0.194,0.316,0.113,190.6,39.1,0.24,0.032,42.54,NA,70.4,NA,884.936,"Trump"
"2481","Muskogee County, Oklahoma",62.1212747489,24193,17.1,82.9,17.5,5.9,73.3,23248.96889,6,5.6,0.09,70.7,0.383,0.333,0.319,0.141,564.8,89.6,0.237,0.064,611.2,6.31,84.7,7,1169.83933333,"Trump"
"2482","Pottawatomie County, Oklahoma",70.1341621749,25417,16.6,83.4,16.6,5.4,74.75,23296.609205,5.3,4.5,0.07,57.9,0.344,0.308,0.372,0.12,448.2,67.1,0.222,0.048,462.59,4.6,91.1,7.1,1049.528,"Trump"
"2483","Stephens County, Oklahoma",79.2016101979,17886,14.9,85.1,16.5,5.1,73.4,26006.19778,3.6,3.9,0.08,55.4,0.279,0.209,0.294,0.114,314.2,42.1,0.191,0.044,256.72,3.89,96.3,7.6,941.541714286,"Trump"
"2484","Washington County, Oregon",32.7120163424,232034,9.6,90.4,38.9,13.3,75.45,32885.546665,3.1,2.8,0.06,26.5,0.245,0.119,0.245,0.065,303.7,114,0.157,0.071,162.06,1.55,41.5,4.4,1079.9064,"Clinton"
"2485","Montgomery County, Pennsylvania",37.6157047316,427489,7.4,92.6,44.2,18.5,82.2,40658.301585,2.7,3.1,0.07,14.2,0.206,0.151,0.24,0.075,225.9,139.6,0.084,0.068,194.35,2.27,51.9,5.4,NA,"Clinton"
"2486","Beaufort County, South Carolina",54.9484677752,72770,9.4,90.6,37.4,14.1,66.85,26543.50762,2.7,2.9,0.09,48.5,0.308,0.168,0.216,0.089,535,252.9,0.216,0.079,553.86,4.83,58.3,6.8,1153.033,"Trump"
"2487","Dorchester County, South Carolina",55.9243071899,62463,11.1,88.9,24.1,8,77.85,29869.782855,3.9,3.8,0.09,40.9,0.346,0.192,0.29,0.103,573.5,215,0.171,0.073,502.83,5.3,55.2,6.4,1286.93333333,"Trump"
"2488","Gibson County, Tennessee",70.7195647711,19484,20.3,79.7,14.8,4.2,73.3,24241.629525,4.2,3.7,0.1,56.6,0.327,0.301,0.371,0.122,660.9,124.8,0.159,0.116,596.6,4.99,103.7,8.1,1368.298,"Trump"
"2489","Macon County, Tennessee",83.5781041389,7490,27.4,72.6,7.6,3.6,70.8,21640.6527,5.7,4.2,0.08,71.9,0.299,0.351,0.336,0.122,111.2,48.2,0.208,0.081,296.57,7.24,119.5,NA,NA,"Trump"
"2490","Maury County, Tennessee",67.8139614463,35068,16.6,83.4,16.1,5.4,76,26622.369525,4.4,3.2,0.09,55.2,0.338,0.257,0.353,0.118,339.8,151.3,0.157,0.093,612.61,9.41,79.2,7.5,1442.63533333,"Trump"
"2491","Tipton County, Tennessee",72.2787951395,23372,16.8,83.2,13.8,4.6,74.8,28748.857145,4.4,3,0.09,49.7,0.328,0.253,0.346,0.116,489.5,161.1,0.142,0.089,618.22,6.36,72.4,12,1370.584,"Trump"
"2492","Castro County, Texas",70.7915831663,1996,31.9,68.1,14.9,2.6,74.55,22134.54095,NA,NA,0.08,83.8,0.278,NA,0.296,0.1,209.5,NA,0.337,0.051,154.39,NA,71.4,NA,503.936,"Trump"
"2493","Colorado County, Texas",74.5636792453,8480,20.4,79.6,15.3,4,68.95,24959.56635,NA,NA,0.07,50.8,0.328,NA,0.288,0.115,264.2,125.3,0.268,0.057,254.02,NA,81,NA,1115.822,"Trump"
"2494","Delta County, Texas",80.5616498464,2279,15.8,84.2,15,4.6,78.75,26133.91111,NA,NA,0.09,51,0.291,NA,0.299,0.116,249.4,NA,0.257,0.076,130.84,NA,83.9,NA,1137.92,"Trump"
"2495","Hamilton County, Texas",84.6771958991,3609,17.4,82.6,23.4,6.9,75.25,25093.15873,NA,NA,0.06,49,0.234,NA,0.291,0.12,165.3,109.2,0.267,0.054,264.54,NA,106.2,NA,799.338,"Trump"
"2496","Hockley County, Texas",79.552320791,7282,25.9,74.1,18,4.8,77.1,24506.091745,2.9,4.7,0.1,70.3,0.284,0.154,0.291,0.094,615.9,42.9,0.257,0.047,404.19,NA,68.9,NA,503.936,"Trump"
"2497","Red River County, Texas",76.2385855838,5147,27.5,72.5,8.6,2.1,78.25,22969.53365,6.6,NA,0.09,61.9,0.39,0.226,0.315,0.127,126,57.4,0.254,0.104,249.88,NA,103.2,NA,1287.526,"Trump"
"2498","San Saba County, Texas",86.0237892948,2354,18.6,81.4,18.1,4.7,67.35,21766.78476,NA,NA,0.07,57.8,0.449,NA,0.299,0.107,315.5,NA,0.302,0.078,191.84,NA,109.7,NA,748.411,"Trump"
"2499","Sutton County, Texas",75.9717314488,1415,30.6,69.4,11.8,3.3,76.7,26603.79778,NA,NA,0.08,67.1,0.184,NA,0.29,0.102,174.7,NA,0.293,0.032,134.44,NA,NA,NA,584.962,"Trump"
"2500","Wichita County, Texas",72.8219871812,37913,17.2,82.8,20,6.3,67.75,23025.68095,4.8,2.8,0.08,59.8,0.348,0.21,0.329,0.113,497.3,139.8,0.229,0.063,412.22,5.45,78.2,8.1,739.817333333,"Trump"
"2501","Martin County, Kentucky",88.6162408297,3953,35.4,64.6,8.9,4.2,73.25,22069.979685,8.1,5.9,0.15,69.7,0.427,0.374,0.385,0.123,102,87.2,0.16,0.103,64.06,NA,135.4,NA,1168.908,"Trump"
